developer_username,developer_email,developer_name,developer_website,customer_username,customer_email,customer_payment_method,application_title,application_version,application_type,free_contains_ads,paid_price,release_version_tag,release_notes,release_date,downloaded,has_review,review_rating,review_comment,review_date,has_transaction,transaction_id,transaction_amount,transaction_date
dev_46,dev_46@example.com,Studio 46,https://studio-46.dev,customer_130,customer_130@mail.com,PayPal,App 49,2.5.9,paid_application,False,27.77,v4.6.3,Release notes batch 17,2025-10-27,False,True,1,Review text 17,2024-08-24,True,TXN-00017,27.77,2024-03-03
dev_87,dev_87@example.com,Studio 87,https://studio-87.dev,customer_318,customer_318@mail.com,ApplePay,App 231,3.2.5,free_application,False,,v4.4.8,Release notes batch 18,2026-01-10,True,False,,,,False,,,
dev_146,dev_146@example.com,Studio 146,https://studio-146.dev,customer_183,customer_183@mail.com,Card,App 158,2.2.2,free_application,False,,v2.2.3,Release notes batch 19,2024-11-22,False,False,,,,False,,,
dev_37,dev_37@example.com,Studio 37,https://studio-37.dev,customer_285,customer_285@mail.com,ApplePay,App 122,4.1.3,paid_application,False,12.69,v4.5.0,Release notes batch 20,2024-03-18,True,True,3,Review text 20,2025-03-20,True,TXN-00020,12.69,2024-01-23
dev_21,dev_21@example.com,Studio 21,https://studio-21.dev,customer_254,customer_254@mail.com,GooglePay,App 216,2.1.9,paid_application,False,12.17,v5.9.1,Release notes batch 21,2025-02-08,False,False,,,,True,TXN-00021,12.17,2024-05-06
dev_49,dev_49@example.com,Studio 49,https://studio-49.dev,customer_67,customer_67@mail.com,Card,App 330,4.0.0,free_application,False,,v3.7.3,Release notes batch 22,2024-10-10,True,True,1,Review text 22,2024-01-12,False,,,
dev_22,dev_22@example.com,Studio 22,https://studio-22.dev,customer_327,customer_327@mail.com,PayPal,App 214,3.7.5,free_application,False,,v1.0.4,Release notes batch 23,2026-04-08,True,True,4,Review text 23,2024-03-04,False,,,
dev_146,dev_146@example.com,Studio 146,https://studio-146.dev,customer_409,customer_409@mail.com,ApplePay,App 23,2.9.7,paid_application,False,20.64,v5.3.1,Release notes batch 24,2025-04-27,True,False,,,,True,TXN-00024,20.64,2025-11-15
dev_111,dev_111@example.com,Studio 111,https://studio-111.dev,customer_455,customer_455@mail.com,PayPal,App 236,3.1.2,paid_application,False,27.73,v3.3.4,Release notes batch 25,2024-07-08,True,True,1,Review text 25,2025-06-05,True,TXN-00025,27.73,2025-03-27
dev_55,dev_55@example.com,Studio 55,https://studio-55.dev,customer_441,customer_441@mail.com,Card,App 269,1.4.3,paid_application,False,6.93,v2.0.2,Release notes batch 26,2024-02-29,False,True,2,Review text 26,2024-12-13,True,TXN-00026,6.93,2024-09-15
dev_154,dev_154@example.com,Studio 154,https://studio-154.dev,customer_307,customer_307@mail.com,ApplePay,App 247,2.5.3,free_application,False,,v5.2.8,Release notes batch 27,2025-08-26,True,True,3,Review text 27,2024-06-11,False,,,
dev_144,dev_144@example.com,Studio 144,https://studio-144.dev,customer_40,customer_40@mail.com,ApplePay,App 295,3.4.3,free_application,False,,v6.7.5,Release notes batch 28,2024-02-17,True,False,,,,False,,,
dev_37,dev_37@example.com,Studio 37,https://studio-37.dev,customer_221,customer_221@mail.com,PayPal,App 157,5.9.0,paid_application,False,17.37,v1.8.8,Release notes batch 29,2024-08-02,False,False,,,,True,TXN-00029,17.37,2025-05-25
dev_58,dev_58@example.com,Studio 58,https://studio-58.dev,customer_28,customer_28@mail.com,ApplePay,App 210,2.2.9,free_application,False,,v4.1.8,Release notes batch 30,2026-07-17,True,True,5,Review text 30,2026-07-26,False,,,
dev_108,dev_108@example.com,Studio 108,https://studio-108.dev,customer_378,customer_378@mail.com,ApplePay,App 256,1.8.7,paid_application,False,12.13,v3.5.7,Release notes batch 31,2025-12-31,True,False,,,,True,TXN-00031,12.13,2025-08-27
dev_117,dev_117@example.com,Studio 117,https://studio-117.dev,customer_113,customer_113@mail.com,PayPal,App 97,3.0.2,free_application,False,,v3.4.6,Release notes batch 32,2024-07-25,True,True,3,Review text 32,2025-04-10,False,,,
dev_1,dev_1@example.com,Studio 1,https://studio-1.dev,customer_304,customer_304@mail.com,PayPal,App 83,2.9.0,free_application,True,,v2.0.1,Release notes batch 33,2026-06-01,True,False,,,,False,,,
dev_3,dev_3@example.com,Studio 3,https://studio-3.dev,customer_13,customer_13@mail.com,GooglePay,App 205,4.7.1,free_application,False,,v2.1.4,Release notes batch 34,2026-12-26,True,True,4,Review text 34,2025-03-31,False,,,
dev_112,dev_112@example.com,Studio 112,https://studio-112.dev,customer_294,customer_294@mail.com,Card,App 72,5.7.5,free_application,False,,v1.4.4,Release notes batch 35,2025-10-18,True,False,,,,False,,,
dev_140,dev_140@example.com,Studio 140,https://studio-140.dev,customer_548,customer_548@mail.com,GooglePay,App 322,3.8.2,paid_application,False,18.44,v2.3.4,Release notes batch 36,2025-12-14,False,True,5,Review text 36,2025-11-12,True,TXN-00036,18.44,2026-03-31
dev_96,dev_96@example.com,Studio 96,https://studio-96.dev,customer_275,customer_275@mail.com,Card,App 325,5.2.3,paid_application,False,5.97,v6.6.1,Release notes batch 37,2024-05-29,True,False,,,,True,TXN-00037,5.97,2026-11-28
dev_148,dev_148@example.com,Studio 148,https://studio-148.dev,customer_583,customer_583@mail.com,ApplePay,App 343,4.4.5,free_application,True,,v3.6.6,Release notes batch 38,2025-10-11,False,False,,,,False,,,
dev_158,dev_158@example.com,Studio 158,https://studio-158.dev,customer_214,customer_214@mail.com,PayPal,App 4,4.6.0,free_application,False,,v2.1.6,Release notes batch 39,2024-02-27,False,True,5,Review text 39,2024-01-19,False,,,
dev_160,dev_160@example.com,Studio 160,https://studio-160.dev,customer_492,customer_492@mail.com,Card,App 92,2.1.8,free_application,True,,v3.0.3,Release notes batch 40,2025-02-13,True,True,4,Review text 40,2024-01-30,False,,,
dev_121,dev_121@example.com,Studio 121,https://studio-121.dev,customer_144,customer_144@mail.com,PayPal,App 52,4.5.2,free_application,False,,v2.4.6,Release notes batch 41,2025-10-12,False,False,,,,False,,,
dev_21,dev_21@example.com,Studio 21,https://studio-21.dev,customer_214,customer_214@mail.com,GooglePay,App 258,4.1.2,free_application,False,,v4.1.8,Release notes batch 42,2026-06-08,True,True,3,Review text 42,2024-07-27,False,,,
dev_90,dev_90@example.com,Studio 90,https://studio-90.dev,customer_339,customer_339@mail.com,GooglePay,App 171,3.3.0,paid_application,False,8.67,v5.7.5,Release notes batch 43,2025-12-17,True,False,,,,True,TXN-00043,8.67,2025-03-09
dev_104,dev_104@example.com,Studio 104,https://studio-104.dev,customer_523,customer_523@mail.com,GooglePay,App 239,5.6.4,paid_application,False,3.33,v3.1.2,Release notes batch 44,2024-12-06,True,False,,,,False,,,
dev_69,dev_69@example.com,Studio 69,https://studio-69.dev,customer_9,customer_9@mail.com,GooglePay,App 62,5.1.4,paid_application,False,6.13,v4.7.5,Release notes batch 45,2024-09-04,True,True,2,Review text 45,2026-07-23,False,,,
dev_113,dev_113@example.com,Studio 113,https://studio-113.dev,customer_494,customer_494@mail.com,Card,App 250,5.7.4,paid_application,False,21.7,v5.6.2,Release notes batch 46,2024-04-16,False,True,1,Review text 46,2024-08-25,False,,,
dev_51,dev_51@example.com,Studio 51,https://studio-51.dev,customer_125,customer_125@mail.com,GooglePay,App 20,2.7.2,paid_application,False,10.0,v6.2.9,Release notes batch 47,2025-01-31,False,True,4,Review text 47,2025-02-28,True,TXN-00047,10.0,2025-12-26
dev_141,dev_141@example.com,Studio 141,https://studio-141.dev,customer_575,customer_575@mail.com,GooglePay,App 267,1.4.9,paid_application,False,23.95,v4.7.0,Release notes batch 48,2025-07-16,False,True,4,Review text 48,2026-02-19,False,,,
dev_12,dev_12@example.com,Studio 12,https://studio-12.dev,customer_477,customer_477@mail.com,Card,App 278,5.0.5,paid_application,False,16.27,v1.4.3,Release notes batch 49,2026-11-08,False,False,,,,True,TXN-00049,16.27,2024-04-05
dev_10,dev_10@example.com,Studio 10,https://studio-10.dev,customer_359,customer_359@mail.com,GooglePay,App 345,2.4.4,paid_application,False,20.69,v6.5.3,Release notes batch 50,2025-12-17,True,False,,,,False,,,
dev_4,dev_4@example.com,Studio 4,https://studio-4.dev,customer_202,customer_202@mail.com,GooglePay,App 108,4.1.1,paid_application,False,29.8,v3.4.0,Release notes batch 51,2025-04-18,False,False,,,,False,,,
dev_158,dev_158@example.com,Studio 158,https://studio-158.dev,customer_550,customer_550@mail.com,PayPal,App 91,5.6.5,paid_application,False,29.31,v3.4.5,Release notes batch 52,2024-10-27,True,False,,,,False,,,
dev_43,dev_43@example.com,Studio 43,https://studio-43.dev,customer_17,customer_17@mail.com,PayPal,App 130,2.2.0,paid_application,False,28.59,v4.1.3,Release notes batch 53,2025-09-02,False,True,1,Review text 53,2025-09-30,True,TXN-00053,28.59,2024-03-06
dev_123,dev_123@example.com,Studio 123,https://studio-123.dev,customer_277,customer_277@mail.com,PayPal,App 290,4.9.7,paid_application,False,11.14,v6.6.3,Release notes batch 54,2024-09-15,True,True,4,Review text 54,2024-11-18,True,TXN-00054,11.14,2026-11-22
dev_76,dev_76@example.com,Studio 76,https://studio-76.dev,customer_181,customer_181@mail.com,Card,App 222,1.4.9,free_application,False,,v5.7.9,Release notes batch 55,2024-12-25,True,True,1,Review text 55,2024-04-10,False,,,
dev_85,dev_85@example.com,Studio 85,https://studio-85.dev,customer_217,customer_217@mail.com,PayPal,App 331,4.9.3,free_application,False,,v3.1.6,Release notes batch 56,2026-08-07,False,False,,,,False,,,
dev_99,dev_99@example.com,Studio 99,https://studio-99.dev,customer_149,customer_149@mail.com,ApplePay,App 197,3.6.3,free_application,False,,v4.3.4,Release notes batch 57,2025-01-14,False,True,4,Review text 57,2025-08-09,False,,,
dev_149,dev_149@example.com,Studio 149,https://studio-149.dev,customer_315,customer_315@mail.com,PayPal,App 236,5.3.0,paid_application,False,18.42,v2.8.5,Release notes batch 58,2026-04-17,True,False,,,,True,TXN-00058,18.42,2024-06-25
dev_19,dev_19@example.com,Studio 19,https://studio-19.dev,customer_415,customer_415@mail.com,PayPal,App 326,5.6.2,free_application,False,,v4.6.1,Release notes batch 59,2024-01-08,True,False,,,,False,,,
dev_48,dev_48@example.com,Studio 48,https://studio-48.dev,customer_319,customer_319@mail.com,ApplePay,App 187,3.0.3,paid_application,False,4.22,v1.9.3,Release notes batch 60,2025-11-18,True,True,3,Review text 60,2026-12-28,False,,,
dev_47,dev_47@example.com,Studio 47,https://studio-47.dev,customer_31,customer_31@mail.com,ApplePay,App 292,5.8.0,free_application,True,,v5.5.2,Release notes batch 61,2024-07-28,False,True,5,Review text 61,2024-01-21,False,,,
dev_121,dev_121@example.com,Studio 121,https://studio-121.dev,customer_213,customer_213@mail.com,PayPal,App 86,1.5.9,free_application,True,,v3.9.6,Release notes batch 62,2025-12-08,False,False,,,,False,,,
dev_148,dev_148@example.com,Studio 148,https://studio-148.dev,customer_455,customer_455@mail.com,PayPal,App 167,3.8.0,free_application,True,,v4.9.6,Release notes batch 63,2025-06-11,False,False,,,,False,,,
dev_147,dev_147@example.com,Studio 147,https://studio-147.dev,customer_461,customer_461@mail.com,Card,App 317,4.3.1,free_application,True,,v5.0.1,Release notes batch 64,2025-10-14,True,True,4,Review text 64,2025-08-24,False,,,
dev_32,dev_32@example.com,Studio 32,https://studio-32.dev,customer_354,customer_354@mail.com,PayPal,App 36,1.3.2,free_application,False,,v1.1.9,Release notes batch 65,2024-11-23,True,False,,,,False,,,
dev_95,dev_95@example.com,Studio 95,https://studio-95.dev,customer_339,customer_339@mail.com,GooglePay,App 1,1.9.0,free_application,False,,v3.1.6,Release notes batch 66,2025-01-01,False,True,3,Review text 66,2024-06-15,False,,,
dev_78,dev_78@example.com,Studio 78,https://studio-78.dev,customer_579,customer_579@mail.com,ApplePay,App 282,1.5.7,paid_application,False,14.88,v3.9.2,Release notes batch 67,2026-07-10,True,False,,,,False,,,
dev_50,dev_50@example.com,Studio 50,https://studio-50.dev,customer_81,customer_81@mail.com,ApplePay,App 294,3.3.5,free_application,False,,v5.7.4,Release notes batch 68,2026-07-15,False,True,4,Review text 68,2026-05-09,False,,,
dev_24,dev_24@example.com,Studio 24,https://studio-24.dev,customer_479,customer_479@mail.com,ApplePay,App 159,1.0.0,free_application,True,,v3.1.6,Release notes batch 69,2024-01-02,False,False,,,,False,,,
dev_53,dev_53@example.com,Studio 53,https://studio-53.dev,customer_161,customer_161@mail.com,Card,App 260,1.5.3,free_application,False,,v5.2.9,Release notes batch 70,2024-04-20,True,False,,,,False,,,
dev_80,dev_80@example.com,Studio 80,https://studio-80.dev,customer_366,customer_366@mail.com,PayPal,App 257,5.1.4,free_application,True,,v4.1.9,Release notes batch 71,2024-08-26,False,False,,,,False,,,
dev_13,dev_13@example.com,Studio 13,https://studio-13.dev,customer_42,customer_42@mail.com,PayPal,App 81,3.8.2,paid_application,False,21.05,v5.4.8,Release notes batch 72,2026-05-26,True,False,,,,True,TXN-00072,21.05,2026-03-04
dev_34,dev_34@example.com,Studio 34,https://studio-34.dev,customer_28,customer_28@mail.com,Card,App 254,4.5.1,free_application,False,,v3.4.5,Release notes batch 73,2024-05-22,True,True,1,Review text 73,2026-01-12,False,,,
dev_150,dev_150@example.com,Studio 150,https://studio-150.dev,customer_300,customer_300@mail.com,PayPal,App 238,5.4.9,free_application,False,,v3.3.5,Release notes batch 74,2024-10-23,True,False,,,,False,,,
dev_131,dev_131@example.com,Studio 131,https://studio-131.dev,customer_36,customer_36@mail.com,GooglePay,App 265,1.5.2,free_application,True,,v1.0.4,Release notes batch 75,2024-07-12,True,False,,,,False,,,
dev_73,dev_73@example.com,Studio 73,https://studio-73.dev,customer_347,customer_347@mail.com,ApplePay,App 251,1.6.9,paid_application,False,13.05,v1.5.7,Release notes batch 76,2025-11-01,True,False,,,,True,TXN-00076,13.05,2026-10-09
dev_8,dev_8@example.com,Studio 8,https://studio-8.dev,customer_488,customer_488@mail.com,ApplePay,App 122,5.5.0,free_application,False,,v1.8.1,Release notes batch 77,2025-10-23,False,False,,,,False,,,
dev_27,dev_27@example.com,Studio 27,https://studio-27.dev,customer_44,customer_44@mail.com,Card,App 5,2.1.0,free_application,True,,v2.8.6,Release notes batch 78,2026-02-08,False,True,5,Review text 78,2024-09-06,False,,,
dev_113,dev_113@example.com,Studio 113,https://studio-113.dev,customer_420,customer_420@mail.com,GooglePay,App 125,3.9.2,paid_application,False,14.59,v6.3.0,Release notes batch 79,2025-08-23,True,True,5,Review text 79,2026-05-25,True,TXN-00079,14.59,2026-12-05
dev_126,dev_126@example.com,Studio 126,https://studio-126.dev,customer_192,customer_192@mail.com,PayPal,App 127,1.6.1,free_application,True,,v1.0.4,Release notes batch 80,2024-02-12,False,True,3,Review text 80,2025-10-04,False,,,
dev_33,dev_33@example.com,Studio 33,https://studio-33.dev,customer_236,customer_236@mail.com,Card,App 178,4.3.0,free_application,True,,v5.3.3,Release notes batch 81,2024-04-04,False,False,,,,False,,,
dev_140,dev_140@example.com,Studio 140,https://studio-140.dev,customer_317,customer_317@mail.com,PayPal,App 43,3.7.0,free_application,True,,v3.6.9,Release notes batch 82,2025-06-07,True,False,,,,False,,,
dev_33,dev_33@example.com,Studio 33,https://studio-33.dev,customer_51,customer_51@mail.com,GooglePay,App 200,1.6.9,free_application,True,,v5.5.7,Release notes batch 83,2024-05-01,False,True,5,Review text 83,2024-06-23,False,,,
dev_101,dev_101@example.com,Studio 101,https://studio-101.dev,customer_213,customer_213@mail.com,ApplePay,App 184,1.8.4,paid_application,False,1.16,v4.9.8,Release notes batch 84,2024-03-06,True,False,,,,True,TXN-00084,1.16,2024-07-17
dev_104,dev_104@example.com,Studio 104,https://studio-104.dev,customer_485,customer_485@mail.com,PayPal,App 152,3.7.9,free_application,False,,v1.2.6,Release notes batch 85,2026-03-02,True,False,,,,False,,,
dev_37,dev_37@example.com,Studio 37,https://studio-37.dev,customer_122,customer_122@mail.com,PayPal,App 317,4.9.0,paid_application,False,14.92,v6.0.0,Release notes batch 86,2024-04-03,False,True,3,Review text 86,2024-01-19,False,,,
dev_138,dev_138@example.com,Studio 138,https://studio-138.dev,customer_235,customer_235@mail.com,PayPal,App 69,2.2.9,paid_application,False,8.03,v2.7.9,Release notes batch 87,2024-07-11,True,True,4,Review text 87,2024-11-19,False,,,
dev_49,dev_49@example.com,Studio 49,https://studio-49.dev,customer_432,customer_432@mail.com,PayPal,App 242,3.8.8,free_application,False,,v3.3.0,Release notes batch 88,2026-02-03,False,True,1,Review text 88,2025-01-02,False,,,
dev_131,dev_131@example.com,Studio 131,https://studio-131.dev,customer_231,customer_231@mail.com,ApplePay,App 179,4.6.9,paid_application,False,7.46,v1.2.5,Release notes batch 89,2024-03-25,False,True,1,Review text 89,2025-08-14,True,TXN-00089,7.46,2026-12-23
dev_11,dev_11@example.com,Studio 11,https://studio-11.dev,customer_559,customer_559@mail.com,PayPal,App 225,5.6.7,free_application,False,,v6.4.2,Release notes batch 90,2026-11-06,False,True,2,Review text 90,2024-11-06,False,,,
dev_111,dev_111@example.com,Studio 111,https://studio-111.dev,customer_583,customer_583@mail.com,ApplePay,App 217,1.1.6,free_application,True,,v5.4.0,Release notes batch 91,2026-06-03,True,False,,,,False,,,
dev_108,dev_108@example.com,Studio 108,https://studio-108.dev,customer_126,customer_126@mail.com,PayPal,App 284,2.5.7,free_application,True,,v2.0.1,Release notes batch 92,2025-11-11,True,False,,,,False,,,
dev_98,dev_98@example.com,Studio 98,https://studio-98.dev,customer_327,customer_327@mail.com,Card,App 122,2.5.2,free_application,True,,v5.4.2,Release notes batch 93,2024-11-06,True,False,,,,False,,,
dev_103,dev_103@example.com,Studio 103,https://studio-103.dev,customer_167,customer_167@mail.com,ApplePay,App 302,3.1.6,paid_application,False,13.8,v5.1.9,Release notes batch 94,2025-11-22,False,False,,,,False,,,
dev_111,dev_111@example.com,Studio 111,https://studio-111.dev,customer_570,customer_570@mail.com,PayPal,App 104,1.2.1,free_application,True,,v3.1.8,Release notes batch 95,2025-05-10,False,False,,,,False,,,
dev_58,dev_58@example.com,Studio 58,https://studio-58.dev,customer_209,customer_209@mail.com,Card,App 159,3.0.6,free_application,False,,v6.0.9,Release notes batch 96,2026-02-16,True,True,5,Review text 96,2025-06-01,False,,,
dev_37,dev_37@example.com,Studio 37,https://studio-37.dev,customer_115,customer_115@mail.com,PayPal,App 193,5.9.9,free_application,True,,v4.6.1,Release notes batch 97,2025-06-16,False,False,,,,False,,,
dev_69,dev_69@example.com,Studio 69,https://studio-69.dev,customer_266,customer_266@mail.com,ApplePay,App 220,1.4.6,paid_application,False,29.19,v6.5.7,Release notes batch 98,2024-03-19,False,False,,,,False,,,
dev_133,dev_133@example.com,Studio 133,https://studio-133.dev,customer_514,customer_514@mail.com,ApplePay,App 87,2.4.1,paid_application,False,27.42,v1.8.4,Release notes batch 99,2025-08-08,False,True,3,Review text 99,2026-12-24,True,TXN-00099,27.42,2026-01-13
dev_37,dev_37@example.com,Studio 37,https://studio-37.dev,customer_502,customer_502@mail.com,ApplePay,App 6,4.9.8,paid_application,False,4.97,v1.4.6,Release notes batch 100,2026-05-27,False,True,1,Review text 100,2025-11-26,True,TXN-00100,4.97,2026-07-01
dev_96,dev_96@example.com,Studio 96,https://studio-96.dev,customer_358,customer_358@mail.com,PayPal,App 38,4.6.1,free_application,False,,v5.0.0,Release notes batch 101,2025-11-23,False,False,,,,False,,,
dev_118,dev_118@example.com,Studio 118,https://studio-118.dev,customer_242,customer_242@mail.com,ApplePay,App 253,2.6.6,paid_application,False,21.11,v1.2.6,Release notes batch 102,2025-02-12,True,False,,,,False,,,
dev_135,dev_135@example.com,Studio 135,https://studio-135.dev,customer_364,customer_364@mail.com,PayPal,App 19,5.1.6,paid_application,False,5.65,v5.0.2,Release notes batch 103,2024-02-17,False,True,1,Review text 103,2025-11-22,True,TXN-00103,5.65,2025-06-02
dev_124,dev_124@example.com,Studio 124,https://studio-124.dev,customer_205,customer_205@mail.com,ApplePay,App 98,5.1.0,paid_application,False,25.97,v1.1.1,Release notes batch 104,2025-06-28,True,True,4,Review text 104,2025-11-17,True,TXN-00104,25.97,2025-08-11
dev_133,dev_133@example.com,Studio 133,https://studio-133.dev,customer_159,customer_159@mail.com,PayPal,App 123,4.4.6,free_application,True,,v1.3.0,Release notes batch 105,2025-06-10,False,True,5,Review text 105,2024-03-16,False,,,
dev_140,dev_140@example.com,Studio 140,https://studio-140.dev,customer_578,customer_578@mail.com,GooglePay,App 221,3.0.1,paid_application,False,4.38,v4.5.1,Release notes batch 106,2024-12-19,False,False,,,,False,,,
dev_158,dev_158@example.com,Studio 158,https://studio-158.dev,customer_491,customer_491@mail.com,Card,App 265,2.2.8,paid_application,False,25.95,v5.6.3,Release notes batch 107,2025-04-09,True,True,1,Review text 107,2026-03-30,True,TXN-00107,25.95,2025-10-16
dev_10,dev_10@example.com,Studio 10,https://studio-10.dev,customer_209,customer_209@mail.com,Card,App 291,2.4.1,paid_application,False,3.62,v5.8.9,Release notes batch 108,2024-07-28,False,False,,,,True,TXN-00108,3.62,2026-09-05
dev_71,dev_71@example.com,Studio 71,https://studio-71.dev,customer_444,customer_444@mail.com,ApplePay,App 291,3.0.5,paid_application,False,9.92,v5.9.7,Release notes batch 109,2024-03-13,False,True,3,Review text 109,2026-10-22,False,,,
dev_25,dev_25@example.com,Studio 25,https://studio-25.dev,customer_342,customer_342@mail.com,GooglePay,App 177,5.5.5,paid_application,False,19.66,v2.4.9,Release notes batch 110,2026-06-19,True,False,,,,False,,,
dev_1,dev_1@example.com,Studio 1,https://studio-1.dev,customer_52,customer_52@mail.com,PayPal,App 34,4.9.3,paid_application,False,24.16,v6.4.6,Release notes batch 111,2026-12-18,True,False,,,,False,,,
dev_125,dev_125@example.com,Studio 125,https://studio-125.dev,customer_31,customer_31@mail.com,PayPal,App 162,3.7.7,free_application,True,,v1.2.4,Release notes batch 112,2025-07-15,True,False,,,,False,,,
dev_59,dev_59@example.com,Studio 59,https://studio-59.dev,customer_525,customer_525@mail.com,ApplePay,App 10,4.2.5,free_application,False,,v3.4.6,Release notes batch 113,2024-12-08,False,False,,,,False,,,
dev_92,dev_92@example.com,Studio 92,https://studio-92.dev,customer_396,customer_396@mail.com,GooglePay,App 213,5.1.1,paid_application,False,6.09,v1.2.1,Release notes batch 114,2024-02-28,False,True,2,Review text 114,2025-09-10,True,TXN-00114,6.09,2025-06-20
dev_141,dev_141@example.com,Studio 141,https://studio-141.dev,customer_342,customer_342@mail.com,PayPal,App 339,2.6.9,free_application,False,,v2.3.9,Release notes batch 115,2026-03-29,False,False,,,,False,,,
dev_31,dev_31@example.com,Studio 31,https://studio-31.dev,customer_514,customer_514@mail.com,ApplePay,App 179,2.4.6,free_application,True,,v1.7.7,Release notes batch 116,2024-09-08,False,False,,,,False,,,
dev_131,dev_131@example.com,Studio 131,https://studio-131.dev,customer_217,customer_217@mail.com,ApplePay,App 246,3.6.9,free_application,True,,v3.7.0,Release notes batch 117,2026-12-31,False,True,5,Review text 117,2024-10-18,False,,,
dev_141,dev_141@example.com,Studio 141,https://studio-141.dev,customer_327,customer_327@mail.com,PayPal,App 146,3.1.6,free_application,False,,v1.9.5,Release notes batch 118,2025-01-18,False,True,3,Review text 118,2024-03-27,False,,,
dev_142,dev_142@example.com,Studio 142,https://studio-142.dev,customer_136,customer_136@mail.com,ApplePay,App 21,3.8.7,free_application,False,,v1.8.5,Release notes batch 119,2025-03-15,True,False,,,,False,,,
dev_35,dev_35@example.com,Studio 35,https://studio-35.dev,customer_569,customer_569@mail.com,GooglePay,App 90,1.2.1,paid_application,False,17.84,v4.4.2,Release notes batch 120,2025-06-24,True,False,,,,True,TXN-00120,17.84,2024-06-27
